IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
141082,SM,23,Male,Bachelor's degree or higher,White,south,21 to 31.5 mo,75,19,12,16,13,10,13,11,18
141084,SM,28,Male,Bachelor's degree or higher,Hispanic,south,21 to 31.5 mo,82,16,12,17,14,14,14,11,10
141087,SM,7,Female,Bachelor's degree or higher,White,south,07 to 10.5 mo,89,17,20,14,19,11,12,13,10
141090,SM,6,Male,Bachelor's degree or higher,Hispanic,south,03.5 to 6 mo,101,13,22,15,17,12,19,16,16
141100,SM,7,Male,Bachelor's degree or higher,White,south,07 to 10.5 mo,98,21,17,14,17,15,16,19,17
141162,SM,18,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,71,13,13,13,11,10,12,12,10
141164,SM,27,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,79,13,14,12,13,16,13,11,11
141217,SM,9,Male,Bachelor's degree or higher,White,south,07 to 10.5 mo,83,11,14,14,15,10,16,14,16
141218,SM,5,Female,Some college or associate degree,White,south,03.5 to 6 mo,96,16,24,15,15,10,16,16,17
141219,SM,9,Male,Bachelor's degree or higher,White,south,07 to 10.5 mo,83,11,14,16,12,12,19,10,22
141220,SM,9,Female,Bachelor's degree or higher,Hispanic,south,07 to 10.5 mo,84,14,22,12,11,12,13,14,22
141222,SM,11,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,82,18,17,15,15,10,13,12,12
141223,SM,4,Male,Bachelor's degree or higher,White,south,03.5 to 6 mo,97,17,28,15,12,12,15,15,26
141224,SM,18,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,82,10,15,12,17,11,14,13,10
141225,SM,9,Male,Bachelor's degree or higher,White,south,07 to 10.5 mo,76,14,15,11,16,10,14,10,14
141227,SM,9,Male,Bachelor's degree or higher,Hispanic,south,07 to 10.5 mo,96,17,19,15,14,16,19,13,19
141229,SM,8,Male,Bachelor's degree or higher,Hispanic,south,07 to 10.5 mo,88,13,19,13,14,18,13,11,15
141231,SM,4,Female,Some college or associate degree,White,south,03.5 to 6 mo,87,13,20,16,13,10,15,13,26
141232,SM,4,Male,Bachelor's degree or higher,White,south,03.5 to 6 mo,92,17,19,13,15,12,17,16,24
141233,SM,4,Female,Some college or associate degree,Hispanic,south,03.5 to 6 mo,99,24,22,19,15,11,13,19,31
141234,SM,28,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,101,15,14,15,18,22,15,17,13
141235,SM,25,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,83,10,17,13,12,13,13,15,12
141238,SM,15,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,72,16,12,14,11,13,11,11,10
141239,SM,23,Female,Bachelor's degree or higher,Hispanic,south,21 to 31.5 mo,83,19,13,18,14,13,13,12,15
141240,SM,18,Male,Some college or associate degree,White,south,09.5 to 20 mo,85,16,16,14,14,11,17,13,16
141241,SM,10,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,109,12,21,20,18,14,18,18,16
141242,SM,5,Female,Some college or associate degree,White,south,03.5 to 6 mo,88,13,21,13,14,10,15,15,27
141243,SM,8,Female,Bachelor's degree or higher,White,south,07 to 10.5 mo,85,11,19,11,17,10,13,15,10
141245,SM,6,Female,Bachelor's degree or higher,White,south,03.5 to 6 mo,80,17,15,14,14,11,14,12,17
141283,SM,7,Female,Bachelor's degree or higher,White,south,07 to 10.5 mo,88,13,17,12,15,13,16,15,16
141299,SM,18,Male,Some college or associate degree,Hispanic,south,09.5 to 20 mo,91,13,12,13,21,17,14,14,16
141301,SM,11,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,84,21,15,12,13,10,15,19,23
141304,SM,13,Female,High school graduate (including GED),Hispanic,south,09.5 to 20 mo,75,11,11,11,12,10,15,16,17
141306,SM,18,Male,Some college or associate degree,Hispanic,south,09.5 to 20 mo,98,20,17,20,20,12,15,14,16
141308,SM,23,Male,Some college or associate degree,Black,south,21 to 31.5 mo,60,10,10,10,10,10,10,10,10
141309,SM,15,Male,High school graduate (including GED),Hispanic,south,09.5 to 20 mo,101,22,17,17,15,18,18,16,16
141310,SM,13,Male,Some college or associate degree,MultiRacial,south,09.5 to 20 mo,117,18,21,22,20,15,22,17,15
141311,SM,17,Male,Some college or associate degree,Hispanic,south,09.5 to 20 mo,82,21,17,13,13,11,16,12,11
141320,SM,26,Female,Some college or associate degree,Hispanic,south,21 to 31.5 mo,110,19,24,19,16,16,20,15,11
141341,SM,13,Female,High school graduate (including GED),Hispanic,south,09.5 to 20 mo,100,22,17,19,15,14,21,14,24
142018,SM,15,Female,Bachelor's degree or higher,White,northeast,09.5 to 20 mo,100,19,16,15,16,13,22,18,19
143011,SM,16,Male,Bachelor's degree or higher,Hispanic,northeast,09.5 to 20 mo,110,24,21,16,20,11,21,21,25
143012,SM,16,Female,Bachelor's degree or higher,Hispanic,northeast,09.5 to 20 mo,89,16,15,17,13,13,16,15,18
143013,SM,10,Male,Bachelor's degree or higher,White,northeast,09.5 to 20 mo,122,26,21,20,19,18,22,22,20
143017,SM,5,Male,Bachelor's degree or higher,Hispanic,northeast,03.5 to 6 mo,86,12,21,12,15,12,14,12,17
143019,SM,26,Female,Bachelor's degree or higher,White,northeast,21 to 31.5 mo,98,17,16,17,19,11,16,19,16
143023,SM,10,Female,Bachelor's degree or higher,White,northeast,09.5 to 20 mo,86,22,18,13,11,11,17,16,28
143032,SM,17,Male,Some college or associate degree,White,northeast,09.5 to 20 mo,71,10,16,11,11,10,13,10,10
143033,SM,17,Female,Some college or associate degree,White,northeast,09.5 to 20 mo,71,10,14,10,11,10,14,12,10
143035,SM,9,Female,High school graduate (including GED),White,northeast,07 to 10.5 mo,79,12,16,12,13,10,15,13,14
143036,SM,4,Female,High school graduate (including GED),Hispanic,northeast,03.5 to 6 mo,87,20,17,19,12,11,13,15,25
143041,SM,9,Male,Bachelor's degree or higher,White,northeast,07 to 10.5 mo,84,15,18,15,12,12,13,14,18
143052,SM,14,Male,High school graduate (including GED),Black,northeast,09.5 to 20 mo,61,10,10,10,10,10,11,10,10
144001,SM,29,Male,Bachelor's degree or higher,White,northeast,21 to 31.5 mo,73,13,12,15,12,11,11,12,12
144002,SM,18,Male,Bachelor's degree or higher,White,northeast,09.5 to 20 mo,78,15,13,12,15,14,12,12,12
144003,SM,26,Female,Some college or associate degree,White,northeast,21 to 31.5 mo,102,13,20,20,18,14,13,17,10
146001,SM,26,Male,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,112,14,15,21,24,17,19,16,12
146005,SM,7,Female,Bachelor's degree or higher,White,west,07 to 10.5 mo,85,14,18,12,16,12,15,12,15
158051,SM,9,Female,Bachelor's degree or higher,White,northeast,07 to 10.5 mo,86,13,16,13,17,12,15,13,15
158052,SM,14,Female,Some college or associate degree,White,northeast,09.5 to 20 mo,81,20,12,13,14,12,13,17,15
158054,SM,8,Female,High school graduate (including GED),White,northeast,07 to 10.5 mo,72,10,16,12,11,10,12,11,13
158055,SM,14,Male,Bachelor's degree or higher,White,northeast,09.5 to 20 mo,100,15,19,15,15,11,22,18,17
158056,SM,28,Female,Bachelor's degree or higher,White,northeast,21 to 31.5 mo,64,10,11,11,10,10,11,11,10
158057,SM,18,Female,Some college or associate degree,White,northeast,09.5 to 20 mo,81,17,13,15,12,11,15,15,15
178002,SM,5,Female,Some college or associate degree,White,south,03.5 to 6 mo,78,16,17,11,13,10,13,14,10
178004,SM,25,Female,Some college or associate degree,White,south,21 to 31.5 mo,103,21,18,19,16,19,15,16,18
178005,SM,30,Female,Bachelor's degree or higher,MultiRacial,south,21 to 31.5 mo,117,19,11,22,19,21,25,19,16
178006,SM,12,Male,Bachelor's degree or higher,MultiRacial,south,09.5 to 20 mo,79,21,11,12,12,15,13,16,10
178009,SM,8,Female,Bachelor's degree or higher,White,south,07 to 10.5 mo,93,12,24,13,16,13,16,11,12
189001,SM,7,Female,Bachelor's degree or higher,White,south,07 to 10.5 mo,95,20,18,16,17,11,15,18,22
189003,SM,9,Female,Bachelor's degree or higher,White,south,07 to 10.5 mo,92,16,18,15,17,12,15,15,17
189005,SM,4,Male,Bachelor's degree or higher,White,south,03.5 to 6 mo,100,14,25,19,14,10,19,13,29
189006,SM,7,Male,Bachelor's degree or higher,White,south,07 to 10.5 mo,80,11,19,13,12,10,11,15,10
189011,SM,28,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,83,16,14,13,13,11,16,16,10
189015,SM,24,Male,Bachelor's degree or higher,White,south,21 to 31.5 mo,75,12,13,13,12,10,16,11,10
189016,SM,27,Female,High school graduate (including GED),White,south,21 to 31.5 mo,111,23,21,21,16,16,20,17,15
189017,SM,14,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,68,12,12,10,12,10,13,11,14
189018,SM,20,Male,Bachelor's degree or higher,MultiRacial,south,09.5 to 20 mo,94,15,19,16,16,15,14,14,10
189019,SM,14,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,93,21,18,17,16,11,17,14,15
189021,SM,20,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,76,12,16,14,10,12,12,12,10
189022,SM,16,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,96,10,20,14,15,17,16,14,14
189025,SM,12,Male,Bachelor's degree or higher,Hispanic,south,09.5 to 20 mo,87,18,10,13,15,13,20,16,16
189026,SM,21,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,114,16,19,24,22,15,18,16,14
189028,SM,22,Male,Bachelor's degree or higher,White,south,21 to 31.5 mo,105,13,20,19,18,15,17,16,12
189029,SM,22,Male,Some college or associate degree,White,south,21 to 31.5 mo,98,21,16,20,18,12,16,16,13
189030,SM,25,Male,Bachelor's degree or higher,White,south,21 to 31.5 mo,85,15,10,15,15,17,16,12,10
189031,SM,22,Female,Bachelor's degree or higher,MultiRacial,south,21 to 31.5 mo,73,14,12,11,13,11,13,13,10
189032,SM,21,Male,Bachelor's degree or higher,MultiRacial,south,21 to 31.5 mo,93,13,14,19,15,14,18,13,14
189033,SM,13,Female,Some college or associate degree,White,south,09.5 to 20 mo,85,18,16,14,16,10,15,14,11
190005,SM,18,Male,Bachelor's degree or higher,Asian,west,09.5 to 20 mo,98,10,16,18,17,16,19,12,12
190016,SM,18,Female,Bachelor's degree or higher,White,west,09.5 to 20 mo,110,14,21,23,16,15,20,15,14
190017,SM,18,Female,Bachelor's degree or higher,White,west,09.5 to 20 mo,85,18,12,15,14,12,18,14,14
190061,SM,26,Male,Bachelor's degree or higher,White,west,21 to 31.5 mo,79,14,11,13,11,17,14,13,10
190098,SM,8,Female,Bachelor's degree or higher,White,west,07 to 10.5 mo,84,17,15,13,16,13,15,12,26
209003,SM,6,Female,High school graduate (including GED),White,south,03.5 to 6 mo,85,12,26,14,10,10,13,12,10
209011,SM,24,Female,Bachelor's degree or higher,MultiRacial,south,21 to 31.5 mo,71,16,11,13,13,12,10,12,14
209013,SM,26,Male,Bachelor's degree or higher,White,south,21 to 31.5 mo,74,13,14,13,12,11,14,10,10
209014,SM,9,Male,Bachelor's degree or higher,Black,south,07 to 10.5 mo,77,12,17,11,11,10,14,14,17
209017,SM,5,Female,Bachelor's degree or higher,MultiRacial,south,03.5 to 6 mo,93,21,19,17,15,11,17,14,13
209019,SM,13,Male,Bachelor's degree or higher,MultiRacial,south,09.5 to 20 mo,91,12,18,14,16,12,17,14,12
209022,SM,9,Male,Bachelor's degree or higher,White,south,07 to 10.5 mo,81,12,22,12,14,10,13,10,10
209026,SM,28,Male,Bachelor's degree or higher,White,south,21 to 31.5 mo,82,13,17,13,12,12,14,14,12
209029,SM,18,Female,Bachelor's degree or higher,White,west,09.5 to 20 mo,102,13,17,17,18,15,20,15,15
209034,SM,11,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,92,17,17,15,18,11,18,13,19
209037,SM,20,Female,Bachelor's degree or higher,White,west,09.5 to 20 mo,73,11,11,12,13,14,12,11,13
209043,SM,13,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,83,15,15,14,15,11,14,14,11
209046,SM,6,Female,Bachelor's degree or higher,White,south,03.5 to 6 mo,100,19,20,18,16,11,19,16,15
209047,SM,4,Female,Bachelor's degree or higher,White,south,03.5 to 6 mo,98,11,23,14,16,14,15,16,21
209048,SM,9,Male,Bachelor's degree or higher,White,south,07 to 10.5 mo,72,12,13,11,11,11,16,10,19
209050,SM,7,Male,Bachelor's degree or higher,White,south,07 to 10.5 mo,87,15,15,15,17,11,15,14,20
209051,SM,6,Male,Bachelor's degree or higher,White,south,03.5 to 6 mo,84,12,19,12,15,11,15,12,21
212001,SM,5,Female,Bachelor's degree or higher,Hispanic,west,03.5 to 6 mo,104,14,21,16,19,10,21,17,23
212005,SM,20,Female,Bachelor's degree or higher,Asian,west,09.5 to 20 mo,91,13,17,17,12,14,17,14,10
212019,SM,18,Male,Bachelor's degree or higher,MultiRacial,west,09.5 to 20 mo,90,21,18,14,15,11,18,14,15
212026,SM,20,Male,High school graduate (including GED),MultiRacial,west,09.5 to 20 mo,108,18,18,20,18,20,17,15,16
212034,SM,5,Female,Bachelor's degree or higher,Asian,west,03.5 to 6 mo,93,18,25,16,15,11,14,12,29
212209,SM,17,Male,Bachelor's degree or higher,MultiRacial,west,09.5 to 20 mo,85,19,15,16,13,13,14,14,11
214001,SM,13,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,82,13,13,14,15,13,17,10,11
214005,SM,8,Male,Bachelor's degree or higher,White,midwest,07 to 10.5 mo,91,12,23,15,12,13,17,11,15
214014,SM,30,Female,Some college or associate degree,White,midwest,21 to 31.5 mo,78,12,16,16,11,12,12,11,10
214018,SM,26,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,94,15,16,17,16,17,14,14,11
214019,SM,11,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,106,19,15,18,18,17,21,17,18
214023,SM,4,Female,Some college or associate degree,White,south,03.5 to 6 mo,90,13,25,14,14,10,12,15,10
216009,SM,26,Male,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,98,19,17,21,17,14,15,14,15
216013,SM,28,Male,Bachelor's degree or higher,Black,midwest,21 to 31.5 mo,79,12,13,14,15,11,14,12,14
216014,SM,22,Female,Did not complete high school (no diploma),Black,midwest,21 to 31.5 mo,91,13,15,21,14,12,17,12,10
216015,SM,16,Female,Bachelor's degree or higher,Hispanic,midwest,09.5 to 20 mo,85,16,16,16,13,11,16,13,11
216016,SM,8,Male,Bachelor's degree or higher,Hispanic,midwest,07 to 10.5 mo,110,18,24,19,17,10,22,18,21
216030,SM,14,Female,Bachelor's degree or higher,MultiRacial,midwest,09.5 to 20 mo,79,13,12,12,15,10,17,13,11
216033,SM,21,Female,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,82,15,13,15,16,11,14,13,10
216034,SM,11,Male,Bachelor's degree or higher,White,midwest,09.5 to 20 mo,109,22,21,20,15,12,19,22,20
216035,SM,14,Male,Bachelor's degree or higher,White,midwest,09.5 to 20 mo,82,14,16,13,14,10,15,14,13
216047,SM,19,Male,Some college or associate degree,MultiRacial,midwest,09.5 to 20 mo,70,17,12,12,11,10,15,10,13
216048,SM,25,Female,Bachelor's degree or higher,Other,midwest,21 to 31.5 mo,86,18,13,13,16,13,15,16,12
216052,SM,23,Male,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,72,11,11,13,12,11,14,11,12
216054,SM,28,Female,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,79,17,14,13,12,14,12,14,11
216056,SM,23,Female,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,71,11,12,11,13,10,13,12,10
216057,SM,23,Female,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,65,11,12,10,10,10,13,10,10
216058,SM,9,Female,Bachelor's degree or higher,White,midwest,07 to 10.5 mo,88,16,17,19,13,15,13,11,19
216062,SM,27,Male,Some college or associate degree,White,midwest,21 to 31.5 mo,84,17,16,14,14,15,12,13,12
216065,SM,8,Male,Bachelor's degree or higher,White,midwest,07 to 10.5 mo,96,16,17,16,20,13,14,16,16
216066,SM,5,Female,Bachelor's degree or higher,White,midwest,03.5 to 6 mo,83,21,16,14,14,10,13,16,20
221004,SM,12,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,90,20,17,13,13,12,22,13,21
224023,SM,4,Female,Some college or associate degree,Hispanic,northeast,03.5 to 6 mo,101,20,25,21,15,10,15,15,24
230001,SM,16,Female,Bachelor's degree or higher,White,midwest,09.5 to 20 mo,85,14,15,15,14,12,16,13,20
230007,SM,9,Male,Some college or associate degree,White,midwest,07 to 10.5 mo,102,19,22,16,17,15,17,15,21
230030,SM,4,Male,Bachelor's degree or higher,White,midwest,03.5 to 6 mo,93,19,23,17,13,10,15,15,23
230031,SM,9,Male,Bachelor's degree or higher,White,midwest,07 to 10.5 mo,108,19,25,18,16,12,23,14,23
230035,SM,16,Male,Bachelor's degree or higher,White,midwest,09.5 to 20 mo,95,23,21,18,13,15,16,12,13
230038,SM,30,Female,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,82,14,13,13,14,12,15,15,11
236011,SM,4,Female,Bachelor's degree or higher,White,west,03.5 to 6 mo,111,23,26,20,19,10,17,19,29
236012,SM,29,Male,Some college or associate degree,White,west,21 to 31.5 mo,101,18,17,17,17,20,15,15,12
236013,SM,29,Female,Some college or associate degree,Hispanic,west,21 to 31.5 mo,68,11,11,12,11,10,13,11,12
236014,SM,17,Female,Bachelor's degree or higher,White,west,09.5 to 20 mo,114,19,23,21,17,17,19,17,18
250002,SM,27,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,86,14,16,17,15,15,10,13,10
250003,SM,18,Female,Bachelor's degree or higher,Hispanic,south,09.5 to 20 mo,80,16,17,11,11,11,14,16,23
250009,SM,14,Female,Bachelor's degree or higher,MultiRacial,south,09.5 to 20 mo,75,16,12,12,12,10,14,15,13
250010,SM,11,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,91,24,18,15,13,14,15,16,18
250011,SM,23,Male,Bachelor's degree or higher,Hispanic,south,21 to 31.5 mo,85,18,13,18,14,16,13,11,10
250016,SM,22,Female,Bachelor's degree or higher,Hispanic,south,21 to 31.5 mo,84,15,12,13,15,14,13,17,12
250017,SM,22,Female,Bachelor's degree or higher,Hispanic,south,21 to 31.5 mo,81,14,13,14,13,12,14,15,11
250025,SM,27,Female,Some college or associate degree,White,south,21 to 31.5 mo,83,13,14,15,11,18,12,13,10
250034,SM,20,Male,Bachelor's degree or higher,Hispanic,south,09.5 to 20 mo,75,21,14,12,12,11,13,13,11
250042,SM,20,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,85,14,14,15,15,13,17,11,10
250043,SM,18,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,82,14,13,13,14,13,17,12,12
250045,SM,8,Female,Bachelor's degree or higher,Black,south,07 to 10.5 mo,82,14,14,11,19,10,18,10,10
250046,SM,30,Male,Bachelor's degree or higher,White,south,21 to 31.5 mo,84,13,15,18,14,11,15,11,11
250056,SM,9,Female,Bachelor's degree or higher,White,south,07 to 10.5 mo,84,10,19,13,12,11,17,12,16
250057,SM,10,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,111,22,21,19,17,14,23,17,20
250058,SM,11,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,87,13,16,14,17,11,14,15,16
250067,SM,14,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,84,23,12,13,14,17,16,12,15
250069,SM,9,Female,Bachelor's degree or higher,Hispanic,south,07 to 10.5 mo,79,12,17,12,13,11,15,11,12
250071,SM,10,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,72,19,12,11,10,11,15,13,18
250078,SM,12,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,82,19,12,13,13,15,16,13,22
260024,SM,27,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,76,11,13,12,12,12,15,12,11
260027,SM,25,Male,Bachelor's degree or higher,White,south,21 to 31.5 mo,63,11,10,11,11,10,10,11,11
260030,SM,16,Male,Some college or associate degree,White,south,09.5 to 20 mo,95,17,15,18,17,12,17,16,10
260035,SM,28,Male,Bachelor's degree or higher,White,south,21 to 31.5 mo,95,13,19,17,16,12,16,15,11
260054,SM,10,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,87,21,19,10,12,14,16,16,14
260055,SM,18,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,83,13,16,13,16,11,13,14,10
260062,SM,15,Female,Did not complete high school (no diploma),White,south,09.5 to 20 mo,112,18,21,20,19,16,18,18,12
263001,SM,28,Male,Some college or associate degree,Hispanic,west,21 to 31.5 mo,65,12,10,10,11,12,12,10,10
275002,SM,24,Male,High school graduate (including GED),White,northeast,21 to 31.5 mo,84,23,13,15,15,14,11,16,12
275003,SM,6,Female,High school graduate (including GED),White,northeast,03.5 to 6 mo,80,16,14,12,12,10,18,14,16
275008,SM,11,Female,High school graduate (including GED),Black,northeast,09.5 to 20 mo,86,13,14,13,12,11,20,16,13
275021,SM,19,Male,Did not complete high school (no diploma),White,northeast,09.5 to 20 mo,100,18,17,13,22,12,23,13,13
275027,SM,6,Male,High school graduate (including GED),Hispanic,northeast,03.5 to 6 mo,90,15,19,13,12,11,18,17,21
275029,SM,9,Female,Did not complete high school (no diploma),Black,northeast,07 to 10.5 mo,112,20,25,21,16,12,18,20,19
292001,SM,14,Male,High school graduate (including GED),Black,south,09.5 to 20 mo,97,23,16,15,14,11,19,22,18
292002,SM,15,Male,High school graduate (including GED),Black,south,09.5 to 20 mo,99,26,19,18,17,14,14,17,17
292003,SM,8,Female,High school graduate (including GED),Black,south,07 to 10.5 mo,96,24,18,19,15,12,20,12,23
292005,SM,14,Female,High school graduate (including GED),Hispanic,south,09.5 to 20 mo,90,19,20,16,16,14,11,13,12
292006,SM,21,Female,Did not complete high school (no diploma),Black,south,21 to 31.5 mo,85,13,18,10,12,17,14,14,15
292007,SM,6,Male,Did not complete high school (no diploma),Black,south,03.5 to 6 mo,106,25,24,21,14,11,18,18,30
292010,SM,16,Male,Did not complete high school (no diploma),Hispanic,south,09.5 to 20 mo,136,32,20,29,20,19,24,24,23
294002,SM,7,Male,High school graduate (including GED),MultiRacial,midwest,07 to 10.5 mo,80,16,16,18,14,10,12,10,19
294003,SM,9,Male,High school graduate (including GED),Black,midwest,07 to 10.5 mo,83,14,13,16,13,13,14,14,18
294004,SM,8,Female,High school graduate (including GED),Black,midwest,07 to 10.5 mo,111,12,23,19,16,15,17,21,16
294005,SM,8,Female,High school graduate (including GED),Black,midwest,07 to 10.5 mo,110,13,23,18,18,15,14,22,17
294006,SM,9,Male,Did not complete high school (no diploma),Black,midwest,07 to 10.5 mo,95,12,18,20,13,15,12,17,11
298043,SM,5,Male,Did not complete high school (no diploma),Black,south,03.5 to 6 mo,69,17,13,13,12,10,11,10,10
298044,SM,8,Male,Did not complete high school (no diploma),Black,south,07 to 10.5 mo,66,20,12,13,11,10,10,10,10
298048,SM,9,Female,Some college or associate degree,Black,south,07 to 10.5 mo,120,17,22,23,22,19,15,19,11
298049,SM,9,Male,Some college or associate degree,Black,south,07 to 10.5 mo,97,19,19,17,14,11,17,19,19
298050,SM,6,Female,Some college or associate degree,Black,south,03.5 to 6 mo,110,16,20,20,21,12,18,19,11
309001,SM,8,Male,Some college or associate degree,Hispanic,west,07 to 10.5 mo,76,12,23,10,10,11,12,10,10
309002,SM,5,Female,High school graduate (including GED),Hispanic,west,03.5 to 6 mo,90,14,22,15,15,11,14,13,29
318080,SM,19,Male,High school graduate (including GED),Black,midwest,09.5 to 20 mo,67,12,12,12,10,12,10,11,11
318081,SM,26,Female,High school graduate (including GED),Black,midwest,21 to 31.5 mo,71,20,15,13,10,11,10,12,15
318082,SM,21,Male,Some college or associate degree,Hispanic,midwest,21 to 31.5 mo,65,19,13,12,10,10,10,10,10
318083,SM,27,Female,High school graduate (including GED),Hispanic,midwest,21 to 31.5 mo,61,16,11,10,10,10,10,10,10
318084,SM,27,Female,Did not complete high school (no diploma),Black,midwest,21 to 31.5 mo,61,14,11,10,10,10,10,10,10
318085,SM,24,Male,High school graduate (including GED),Hispanic,midwest,21 to 31.5 mo,60,14,10,10,10,10,10,10,10
318086,SM,21,Male,High school graduate (including GED),Black,midwest,21 to 31.5 mo,62,19,12,10,10,10,10,10,12
318087,SM,9,Male,High school graduate (including GED),Black,midwest,07 to 10.5 mo,64,16,12,11,10,11,10,10,16
318088,SM,8,Female,High school graduate (including GED),Black,midwest,07 to 10.5 mo,61,18,11,10,10,10,10,10,10
318102,SM,5,Female,High school graduate (including GED),Black,midwest,03.5 to 6 mo,133,28,32,21,21,18,20,21,21
318103,SM,5,Female,High school graduate (including GED),Black,midwest,03.5 to 6 mo,157,19,25,28,26,23,27,28,24
318104,SM,11,Male,High school graduate (including GED),Black,midwest,09.5 to 20 mo,137,28,22,24,21,26,21,23,24
318105,SM,14,Male,High school graduate (including GED),Black,midwest,09.5 to 20 mo,167,18,33,33,29,22,26,24,23
318106,SM,11,Male,Did not complete high school (no diploma),Black,midwest,09.5 to 20 mo,142,26,24,22,23,26,26,21,24
318131,Sp,13,Female,High school graduate (including GED),Hispanic,midwest,09.5 to 20 mo,72,21,12,11,10,12,11,16,17
318132,Sp,13,Male,High school graduate (including GED),Hispanic,midwest,09.5 to 20 mo,72,28,18,10,10,11,11,12,10
318133,Sp,15,Female,High school graduate (including GED),Hispanic,midwest,09.5 to 20 mo,97,23,13,15,15,21,13,20,11
318134,Sp,20,Female,Did not complete high school (no diploma),Hispanic,midwest,09.5 to 20 mo,91,37,14,13,16,14,15,19,13
318135,Sp,6,Male,High school graduate (including GED),Hispanic,midwest,03.5 to 6 mo,72,26,11,14,13,12,11,11,13
318136,Sp,7,Female,High school graduate (including GED),Hispanic,midwest,07 to 10.5 mo,64,30,11,12,10,10,10,11,12
322008,SM,14,Female,Some college or associate degree,Hispanic,south,09.5 to 20 mo,90,15,16,13,17,11,16,17,10
322013,SM,23,Female,High school graduate (including GED),Hispanic,south,21 to 31.5 mo,84,23,14,11,14,16,16,13,10
322014,SM,10,Female,High school graduate (including GED),Hispanic,south,09.5 to 20 mo,100,12,25,14,15,13,18,15,11
322015,SM,19,Female,Some college or associate degree,Hispanic,south,09.5 to 20 mo,70,15,12,12,11,10,12,13,10
324001,SM,8,Female,Bachelor's degree or higher,Hispanic,south,07 to 10.5 mo,75,11,15,12,13,11,13,11,14
324003,SM,24,Female,Some college or associate degree,Hispanic,south,21 to 31.5 mo,91,11,18,14,14,15,13,17,15
354001,SM,10,Female,High school graduate (including GED),Black,midwest,09.5 to 20 mo,74,15,14,11,14,10,15,10,10
354002,SM,16,Female,High school graduate (including GED),Black,midwest,09.5 to 20 mo,64,12,10,10,10,10,14,10,10
354003,SM,7,Female,High school graduate (including GED),Black,midwest,07 to 10.5 mo,63,10,10,10,10,10,13,10,10
354004,SM,8,Female,High school graduate (including GED),Black,midwest,07 to 10.5 mo,60,12,10,10,10,10,10,10,15
354005,SM,15,Male,Did not complete high school (no diploma),Black,midwest,09.5 to 20 mo,60,10,10,10,10,10,10,10,10
354006,SM,14,Male,Did not complete high school (no diploma),Black,midwest,09.5 to 20 mo,60,11,10,10,10,10,10,10,10
354007,SM,16,Male,High school graduate (including GED),Black,midwest,09.5 to 20 mo,60,10,10,10,10,10,10,10,10
354008,SM,9,Male,Some college or associate degree,Black,midwest,07 to 10.5 mo,64,10,10,10,10,10,14,10,10
354009,SM,5,Male,Did not complete high school (no diploma),Black,midwest,03.5 to 6 mo,63,12,10,10,10,10,13,10,10
