IDNumber,data,Age,age_range,Gender,HighestEducation,Ethnicity,Region,q0014,q0015,q0016,q0022,q0023,q0024,q0025,q0026,q0027,q0028,q0029,q0031,q0033,q0034,q0036,q0037,q0039,q0040,q0041,q0042,q0043,q0045,q0046,q0047,q0048,q0050,q0053,q0055,q0056,q0057,q0058,q0060,q0061,q0063,q0064,q0065,q0066,q0069,q0071,q0072,q0073,q0074,q0075,q0076,q0079,q0080,q0081,q0084,q0086,q0087,q0088,q0090,q0091,q0092,q0094,q0095,q0096,q0097,q0099,q0100,q0103,q0105,q0107,q0108,q0109,q0110,q0111,q0112,q0113,q0114,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,q0129,q0131,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
141196,SM,70,65.00 to 99.99 years,Male,Bachelor's degree or higher,White,south,2,3,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,1,2,2,1,1,2,2,3,2,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,97,17,16,16,16,13,18,18,18,58,52,57,54,57,48,63,61,58
141198,SM,38,31.00 to 40.99 years,Male,Some college or associate degree,White,south,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,3,1,1,1,2,1,1,2,1,1,1,4,2,3,1,1,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,2,1,1,2,1,2,2,1,81,17,12,13,14,19,11,12,16,51,52,48,48,51,59,47,51,55
141200,SM,36,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,1,3,1,2,1,1,1,2,3,1,1,2,1,1,1,1,1,2,1,2,2,3,3,2,1,3,2,2,2,4,2,3,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,1,1,2,2,1,1,3,1,2,1,2,2,1,91,16,13,24,16,13,11,14,16,55,50,51,65,57,48,47,56,55
141201,SM,34,31.00 to 40.99 years,Female,High school graduate (including GED),White,south,3,3,2,3,1,3,3,2,3,3,1,1,2,1,2,1,2,3,2,2,1,1,2,3,2,2,1,3,2,4,2,3,2,1,3,2,1,1,3,2,3,3,3,2,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,3,1,2,1,1,1,2,2,3,4,1,3,1,3,3,4,104,26,17,21,20,20,12,14,26,61,66,59,62,63,61,51,56,69
141202,SM,34,31.00 to 40.99 years,Male,Some college or associate degree,White,south,1,3,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,2,1,3,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,77,13,13,13,14,14,10,13,13,49,42,51,48,51,50,39,54,49
141203,SM,25,21.00 to 30.99 years,Male,Did not complete high school (no diploma),White,south,2,2,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,3,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,74,16,12,13,14,12,12,11,17,46,50,48,48,51,45,51,46,57
141205,SM,41,41.00 to 50.99 years,Male,Some college or associate degree,White,south,2,3,4,2,1,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,3,2,2,2,3,2,2,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,106,23,18,19,16,18,22,13,17,61,61,60,59,57,58,66,54,57
141206,SM,39,31.00 to 40.99 years,Female,Some college or associate degree,White,south,1,2,1,2,1,2,1,2,2,1,2,2,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,4,2,2,2,1,2,1,1,1,4,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,3,2,1,1,2,1,1,3,1,1,1,1,1,1,2,2,3,2,2,1,2,1,2,2,2,108,15,20,22,18,18,17,13,19,62,47,62,64,60,58,62,54,60
141207,SM,24,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,71,12,12,12,11,11,10,15,13,44,40,48,45,41,42,39,58,49
141208,SM,33,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,1,3,2,2,1,1,1,2,4,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,4,2,1,3,4,1,1,1,1,3,2,2,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,83,20,12,14,19,13,13,12,13,52,57,48,50,62,48,54,51,49
141209,SM,35,31.00 to 40.99 years,Female,Some college or associate degree,White,south,1,3,3,2,2,2,3,2,2,2,3,2,2,2,1,3,1,1,3,2,2,2,2,1,2,3,2,2,1,2,2,2,3,1,3,2,1,2,3,3,2,3,3,3,1,3,3,3,3,3,2,2,1,2,3,3,1,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,1,2,1,3,1,3,3,128,22,20,19,22,27,20,20,20,66,60,62,59,65,69,65,63,61
141210,SM,35,31.00 to 40.99 years,Male,High school graduate (including GED),White,south,2,4,1,2,3,3,3,3,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,4,1,1,2,2,1,3,2,1,1,3,3,2,1,1,2,1,2,1,1,1,3,1,2,1,2,4,1,1,1,1,2,1,1,3,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,3,1,4,3,4,1,1,91,25,13,17,17,18,15,11,21,55,65,51,56,59,58,58,46,62
141212,SM,30,21.00 to 30.99 years,Male,Some college or associate degree,White,south,2,2,1,2,2,2,2,2,3,1,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,4,1,2,2,3,1,3,2,1,3,1,1,2,1,1,1,2,2,1,1,4,2,2,1,1,3,1,3,1,1,1,1,1,2,2,2,4,2,2,3,2,4,2,93,19,17,11,15,19,17,14,25,56,55,59,42,55,59,62,56,67
141213,SM,42,41.00 to 50.99 years,Female,Bachelor's degree or higher,White,south,2,3,2,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,71,19,11,13,13,11,10,13,12,44,55,44,48,48,42,39,54,46
141214,SM,41,41.00 to 50.99 years,Male,Bachelor's degree or higher,White,south,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,74,11,12,13,11,12,13,13,11,46,36,48,48,41,45,54,54,43
141215,SM,52,51.00 to 64.99 years,Female,Some college or associate degree,Hispanic,south,1,2,1,1,1,1,2,1,2,2,2,3,3,1,2,1,2,3,1,1,1,2,1,3,1,2,2,3,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,3,2,2,2,2,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,2,2,3,2,93,14,19,18,14,15,17,10,19,56,45,61,57,51,52,62,39,60
141216,SM,56,51.00 to 64.99 years,Male,Bachelor's degree or higher,White,south,2,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,72,14,11,14,11,14,12,10,12,45,45,44,50,41,50,51,39,46
143001,SM,34,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,northeast,1,3,1,2,3,3,2,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,2,2,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,78,19,12,18,13,12,12,11,10,49,55,48,57,48,45,51,46,37
143002,SM,34,31.00 to 40.99 years,Male,High school graduate (including GED),White,northeast,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,86,13,13,13,14,15,17,14,12,53,42,51,48,51,52,62,56,46
143006,SM,40,31.00 to 40.99 years,Male,High school graduate (including GED),White,northeast,1,3,1,2,3,3,4,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,68,25,10,12,13,11,12,10,16,42,65,38,45,48,42,51,39,55
