IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,QT1,QT2,QT4,QT5,QT6,QT7,QT10,QT11,QT12,QT13,QT14,QT15,QT17,QT18,QT19,QT20,QT21,QT23,QT25,QT26,QT27,QT28,QT30,QT31,QT32,QT33,QT34,QT35,QT37,QT39,QT41,QT43,QT45,QT46,QT47,QT48,QT49,QT50,QT51,QT54,QT55,QT56,QT57,QT60,QT62,QT65,QT66,QT67,QT68,QT69,QT71,QT72,QT73,QT74,QT75,QT76,QT77,QT78,QT79,QT81,QT83,QT85,QT86,QT87,QT89,QT91,QT92,QT93,QT94,QT95,QT96,QT97,QT98,QT100,QT101,QT103,QT105,QT106,QT107,QT108,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
105075,SM,24,Male,Bachelor's degree or higher,White,midwest,3,2,2,2,1,3,2,2,3,3,2,3,1,4,2,3,2,1,1,2,2,3,2,4,1,2,2,1,2,3,4,2,2,2,1,1,2,2,1,1,1,3,1,2,3,3,1,3,1,1,3,2,1,1,1,1,2,1,1,1,1,2,1,1,3,1,2,1,2,1,1,1,1,3,3,1,1,1,1,1,11 to 31.5 mo,109,23,21,22,18,19,14,15,14,62,65,63,65,63,59,56,52,49
105076,SM,23,Male,Bachelor's degree or higher,MultiRacial,south,1,2,1,2,1,1,2,2,2,2,1,2,1,4,1,2,1,1,2,2,1,2,1,2,1,4,2,1,1,2,2,1,1,2,2,1,2,3,2,1,4,3,1,3,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,1,1,1,1,2,3,1,1,1,1,2,11 to 31.5 mo,101,16,17,17,17,21,11,18,14,58,48,55,54,60,64,45,60,49
105077,SM,5,Male,Bachelor's degree or higher,White,midwest,2,1,2,3,1,2,1,1,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,3,3,1,1,2,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,3,3,2,2,1,1,3,03.5 to 10 mo,92,17,15,20,15,15,11,16,21,53,51,49,61,54,50,45,55,64
105078,SM,4,Female,High school graduate (including GED),Black,midwest,2,3,2,3,3,1,1,1,2,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,1,2,03.5 to 10 mo,70,20,14,12,12,11,10,11,15,38,58,47,40,44,37,40,38,51
105079,SM,5,Female,Bachelor's degree or higher,White,midwest,3,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,3,1,3,1,1,1,1,1,2,1,1,1,1,1,03.5 to 10 mo,84,14,13,16,13,14,12,16,11,48,42,44,52,47,47,49,55,39
105080,SM,5,Female,Bachelor's degree or higher,White,midwest,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,3,1,3,1,1,1,1,1,2,2,1,1,1,1,03.5 to 10 mo,81,11,13,14,13,13,12,16,12,46,32,44,46,47,44,49,55,43
105081,SM,11,Female,Bachelor's degree or higher,MultiRacial,west,2,2,2,2,2,2,2,2,2,2,1,3,2,4,2,2,2,1,2,4,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,3,1,2,1,2,2,2,2,1,2,2,2,11 to 31.5 mo,108,20,23,19,14,18,16,18,18,62,58,67,59,51,57,63,60,58
105082,SM,9,Female,Some college or associate degree,White,south,2,2,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,03.5 to 10 mo,74,14,14,12,11,14,11,12,13,41,42,47,40,40,47,45,42,46
105083,SM,26,Male,Bachelor's degree or higher,White,midwest,1,1,1,3,3,1,1,1,2,2,1,1,2,2,2,2,1,1,2,1,1,1,2,2,1,2,2,1,2,3,2,1,2,4,1,1,2,3,1,1,2,1,2,2,2,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,4,3,1,2,1,1,1,1,3,3,1,1,1,1,1,11 to 31.5 mo,101,16,15,17,18,19,10,22,14,58,48,49,54,63,59,40,69,49
105085,SM,16,Female,Bachelor's degree or higher,White,midwest,2,3,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,1,1,1,2,2,1,1,1,1,1,11 to 31.5 mo,70,15,12,12,10,12,10,14,12,38,46,40,40,35,40,40,49,43
105086,SM,8,Female,Bachelor's degree or higher,White,midwest,2,2,1,2,2,2,1,1,2,2,2,1,1,4,2,1,1,1,1,2,1,1,1,4,1,3,1,2,2,3,1,1,1,3,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,3,2,1,1,1,2,1,2,2,3,2,1,1,1,2,03.5 to 10 mo,90,17,16,19,13,14,12,16,17,52,51,52,59,47,47,49,55,56
105088,SM,28,Female,Bachelor's degree or higher,White,midwest,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11 to 31.5 mo,60,11,10,10,10,10,10,10,10,30,32,33,32,35,33,40,34,36
105089,SM,11,Female,Some college or associate degree,White,midwest,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,3,2,3,1,2,1,2,11 to 31.5 mo,79,15,14,16,12,14,11,12,18,45,46,47,52,44,47,45,42,58
105090,SM,11,Female,Bachelor's degree or higher,MultiRacial,midwest,3,2,2,2,3,2,2,2,2,2,1,2,2,4,2,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,3,1,1,2,2,2,2,1,2,3,3,3,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,11 to 31.5 mo,97,22,19,13,15,22,13,15,18,56,63,59,43,54,66,53,52,58
105092,SM,24,Male,Bachelor's degree or higher,MultiRacial,south,2,2,2,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,3,2,2,1,1,1,1,1,2,11 to 31.5 mo,69,21,11,12,11,13,10,12,16,38,61,37,40,40,44,40,42,54
105094,SM,20,Female,Bachelor's degree or higher,White,midwest,2,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,2,3,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,11 to 31.5 mo,75,15,10,16,13,13,11,12,12,42,46,33,52,47,44,45,42,43
105099,SM,22,Female,Bachelor's degree or higher,White,midwest,3,2,3,2,3,2,1,2,2,2,1,1,1,3,1,1,1,1,2,2,2,2,2,3,1,2,2,1,2,2,2,1,2,2,1,2,1,1,1,1,1,3,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,11 to 31.5 mo,87,22,14,19,14,16,11,13,15,50,63,47,59,51,52,45,46,51
105100,SM,10,Female,Bachelor's degree or higher,Black,midwest,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,03.5 to 10 mo,66,12,11,11,12,10,11,11,11,35,36,37,36,44,33,45,38,39
105102,SM,25,Male,Bachelor's degree or higher,White,midwest,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,11 to 31.5 mo,68,10,12,10,13,13,10,10,11,37,27,40,32,47,44,40,34,39
